Season,Month,Year,MuncipalityCd,Establishment,LicenseNumber,VGTCount,AmoutPlayed,AmountWon,NetWager,FundsIn,FundsOut,NTI,NTITaxRate,StateShare,MuncipalityShare,NetWagePerMachine
Winter,1,2016,2,"Brandon 777, LLC",140704132,2,7562.17,6616.14,946.03,3658,2711.97,946.03,283.83,236.53,47.3,473.015
Winter,1,2018,2,"JCJ Beverages, Inc.",130704160,5,11484.23,10522.81,961.42,4397,3435.52,961.48,288.47,240.39,48.08,192.284
Winter,1,2014,2,"D.H. Brown, Inc.",120706285,2,10211.74,9231.57,980.17,3722,2741.68,980.32,294.09,245.07,49.02,490.085
Winter,1,2017,2,"Craft Beer Bar, LLC",140702658,3,14523.61,13539,984.61,6389,5404.55,984.45,295.33,246.11,49.22,328.2033333
Winter,1,2015,2,Cafe Andiamo LLC,130702828,5,7988.8,6982.71,1006.09,2007,1000.91,1006.09,301.82,251.52,50.3,201.218
Winter,1,2017,2,KIKU JAPANESE STEAK & SEAFOOD HOUSE LTD.,150701011,4,11733.39,10716.35,1017.04,4859,3841.72,1017.28,305.18,254.32,50.86,254.26
Winter,1,2016,1,"Edgewood Golf Course, Inc.",130704749,3,8894.94,7819.03,1075.91,2447,1371.09,1075.91,322.78,268.99,53.79,358.6366667
Winter,1,2018,2,Capitol Holdings LTD.,120708868,4,21543.36,20460.67,1082.69,8403,7320.31,1082.69,324.79,270.66,54.13,270.6725
Winter,1,2013,2,"RKR Clubs, LLC",120704798,4,9827.06,8734.99,1092.07,3233,2140.93,1092.07,327.62,273.02,54.6,273.0175
Winter,1,2016,2,"Craft Beer Bar, LLC",140702658,3,30643.36,29525.05,1118.31,9570,8451.69,1118.31,335.47,279.56,55.91,372.77
Winter,1,2014,2,"CENTRAL POINTE, INC.",120711229,3,13980.33,12834.06,1146.27,3127,1980.81,1146.19,343.87,286.56,57.31,382.09
Winter,1,2016,2,"Dos Banditos, Inc.",120709293,3,12641.37,11482.29,1159.08,3371,2211.92,1159.08,347.74,289.79,57.95,386.36
Winter,1,2015,2,"JARMAC of Illinois, LLC",130700892,5,16477.78,15251.69,1226.09,4361,3134.91,1226.09,367.87,306.56,61.31,245.218
Winter,1,2019,2,"CENTRAL POINTE, INC.",140703890,3,34952.48,33625.93,1326.55,13646,12319.55,1326.45,397.93,331.61,66.32,442.1833333
Winter,1,2017,2,2266 S. Sixth LLC,160702619,3,15949.1,14594.65,1354.45,6112,4757.31,1354.69,406.43,338.7,67.73,451.4833333
Winter,1,2014,2,"Homespun Republic, LLC",120707911,3,8516.8,7150.28,1366.52,3284,1917.37,1366.63,410.01,341.68,68.33,455.5066667
Winter,1,2019,2,Cafe Andiamo LLC,130702828,4,62790.64,61419.38,1371.26,21775,20403.74,1371.26,411.41,342.84,68.57,342.815
Winter,1,2015,2,"Thai Kitchen II, Inc.",130704953,4,29320.39,27938.26,1382.13,13583,12200.82,1382.18,414.65,345.55,69.1,345.5325
Winter,1,2017,3,LAKE PRESS CLUB,120705751,5,29553.24,28136.69,1416.55,11372,9955.45,1416.55,425.01,354.17,70.84,283.31
Winter,1,2016,2,NAVY CLUB OF SANGAMON SHIP NO. 32 BUILDING CORPORATION,130705862,2,19596.48,18170.53,1425.95,7834,6408.05,1425.95,427.79,356.49,71.3,712.975
Winter,1,2017,2,GROOVY DUCK RESTAURANT INCORPORATED,160702299,4,17126.8,15692.31,1434.49,6482,5047.51,1434.49,430.4,358.66,71.74,358.6225
Winter,1,2014,2,"Dos Banditos, Inc.",120709293,3,8701.69,7253.79,1447.9,3714,2266.1,1447.9,434.41,362.01,72.4,482.6333333
Winter,1,2015,2,"WILFREE, INCORPORATED",120708005,3,15830.5,14351.37,1479.13,5639,4160.05,1478.95,443.71,369.76,73.95,493.0433333
Winter,1,2015,2,NAVY CLUB OF SANGAMON SHIP NO. 32 BUILDING CORPORATION,130705862,2,20858.57,19288.86,1569.71,6776,5206.29,1569.71,470.95,392.46,78.49,784.855
Winter,1,2015,2,"La Fiesta Mex, Inc.",140700210,2,24449.19,22843.46,1605.73,8977,7371.27,1605.73,481.71,401.42,80.29,802.865
Winter,1,2019,2,"Craft Beer Bar, LLC",140702658,3,24117.02,22499.58,1617.44,8302,6684.56,1617.44,485.24,404.36,80.88,539.1466667
Winter,1,2017,2,Hallie & Glenn Inc.,120706651,3,30520.55,28896.73,1623.82,10043,8419.18,1623.82,487.18,405.98,81.2,541.2733333
Winter,1,2016,2,"IBPO Elks of the World, Capital City Lodge #1160",120802101,4,24791.17,23100.9,1690.27,8409,6718.73,1690.27,507.12,422.6,84.52,422.5675
Winter,1,2018,2,"AJG Industries, Inc.",160700876,3,23174.62,21472.15,1702.47,9633,7930.54,1702.46,510.76,425.63,85.13,567.49
Winter,1,2015,2,"Craft Beer Bar, LLC",140702658,3,18459.39,16751.28,1708.11,6497,4788.89,1708.11,512.43,427.02,85.41,569.37
Winter,1,2016,2,"KING OF CLUBS, INC.",180704586,4,18611.83,16870.64,1741.19,6502,4760.81,1741.19,522.41,435.35,87.06,435.2975
Winter,1,2018,2,"South Side Columbian Home Association, Inc.",130701823,4,57069.69,55297.83,1771.86,18917,17145.14,1771.86,531.57,442.97,88.6,442.965
Winter,1,2015,2,Arlington's LLC,140700636,3,29291.41,27517.85,1773.56,10408,8634.44,1773.56,532.06,443.39,88.67,591.1866667
Winter,1,2014,2,"J&M Family, Fun & Food, Inc.",130703604,5,43535.22,41726.97,1808.25,13424,11615.75,1808.25,542.46,452.05,90.41,361.65
Winter,1,2017,3,Aqua Sports Club ,120704622,3,29636.95,27824.55,1812.4,9935,8122.73,1812.27,543.72,453.1,90.62,604.1333333
Winter,1,2015,3,CAFE COCO LLC,130700693,3,33944.78,32105.43,1839.35,12449,10609.65,1839.35,551.81,459.84,91.97,613.1166667
Winter,1,2016,3,Cafe Coco of Springfield Inc.,150700615,3,26207.47,24351.52,1855.95,9960,8104.06,1855.94,556.75,463.96,92.79,618.65
Winter,1,2015,2,"Dos Banditos, Inc.",120709293,3,36242.04,34357.68,1884.36,11676,9791.48,1884.52,565.36,471.13,94.23,628.12
Winter,1,2019,2,MS. DS KITCHEN BAR & GRILL INC.,150703951,3,16707.17,14821.17,1886,9115,7229,1886,565.81,471.51,94.3,628.6666667
Winter,1,2017,2,"Fairview Restarante, LLC",150700174,3,15114.7,13196.96,1917.74,6221,4303.26,1917.74,575.39,479.49,95.9,639.2466667
Winter,1,2017,2,"CENTRAL POINTE, INC.",120711229,2,44235.46,42238.03,1997.43,20118,18120.57,1997.43,599.25,499.37,99.88,998.715
Winter,1,2019,2,Parvenir Group LLC,170704285,4,13668.17,11644.15,2024.02,5397,3373.16,2023.84,607.13,505.94,101.19,506.005
Winter,1,2014,3,"Paula's Landing, LLC ",120708028,3,32866.14,30802.78,2063.36,9823,7759.04,2063.96,619.19,515.99,103.2,687.7866667
Winter,1,2016,2,JACKSON'sHANDLEBAR INC.,150703281,4,50262.84,48197.21,2065.63,16352,14286.37,2065.63,619.69,516.41,103.28,516.4075
Winter,1,2018,2,"CENTRAL POINTE, INC.",120711229,2,21915.41,19811.07,2104.34,9621,7516.66,2104.34,631.34,526.11,105.23,1052.17
Winter,1,2016,2,"KEEFNER'S, INC.",150701722,3,48404.59,46297.31,2107.28,14802,12694.7,2107.3,632.22,526.85,105.37,702.4266667
Winter,1,2018,3,Crows Mill LLC,120706464,5,138865.11,136752.37,2112.74,51219,49106.26,2112.74,633.86,528.22,105.64,422.548
Winter,1,2016,2,"CENTRAL POINTE, INC.",120711229,2,29180.67,27059.95,2120.72,15768,13647.32,2120.68,636.2,530.16,106.04,1060.36
Winter,1,2018,2,Engrained Brewing Company LLC,150702740,4,24148.7,22003.89,2144.81,10452,8307.21,2144.79,643.46,536.22,107.24,536.2025
Winter,1,2018,2,"DEW CHILLI PARLORS OF AMERICA, LLC",140701342,4,33115.86,30932.95,2182.91,12473,10290.09,2182.91,654.98,545.82,109.16,545.7275
Winter,1,2018,3,"LONG BRIDGE GOLF COURSE, INC.",130705875,3,22355.21,20169.62,2185.59,8493,6307.41,2185.59,655.72,546.44,109.28,728.53
Winter,1,2017,2,Tai Pan Chinese Restaurant Inc.,180704605,3,39945.8,37754.68,2191.12,12989,10797.88,2191.12,657.35,547.79,109.56,730.3733333
Winter,1,2018,2,"D.H. Brown, Inc.",120706285,4,19826.99,17629.36,2197.63,7227,5029.77,2197.23,659.18,549.32,109.86,549.4075
Winter,1,2018,2,"CENTRAL POINTE, INC.",140703890,3,28176.89,25964.28,2212.61,10840,8627.39,2212.61,663.81,553.17,110.64,737.5366667
Winter,1,2018,2,"Craft Beer Bar, LLC",140702658,3,15525.1,13305.38,2219.72,6195,3975.43,2219.57,665.89,554.91,110.98,739.9066667
Winter,1,2014,2,"Lake Pointe Grill, Inc.",120706970,3,25002.95,22781.73,2221.22,8306,6084.68,2221.32,666.43,555.36,111.07,740.4066667
Winter,1,2015,2,Hallie & Glenn Inc.,120706651,3,24036.96,21752.69,2284.27,8869,6584.73,2284.27,685.29,571.07,114.22,761.4233333
Winter,1,2014,2,"CHRISMAC OF ILLINOIS, LLC",120706066,3,16023.6,13736.71,2286.89,7142,4855.08,2286.92,686.11,571.76,114.35,762.2966667
Winter,1,2018,2,"Lake Pointe Grill, Inc.",120706970,3,41917.88,39610.03,2307.85,16365,14057.15,2307.85,692.39,576.99,115.4,769.2833333
Winter,1,2019,3,"LONG BRIDGE GOLF COURSE, INC.",130705875,5,24881.79,22501.61,2380.18,10022,7641.82,2380.18,714.08,595.07,119.01,476.036
Winter,1,2014,3,BSJ Incorporated,120711751,5,49604.28,47200.86,2403.42,16474,14070.63,2403.37,721.08,600.9,120.18,480.684
Winter,1,2017,3,"The Raceway Bar & Sports Complex, LLC",150702811,5,53377.41,50969.04,2408.37,17125,14716.62,2408.38,722.57,602.14,120.43,481.674
Winter,1,2015,2,"D.H. Brown, Inc.",120706285,3,21722.98,19313.08,2409.9,7796,5385.98,2410.02,723.06,602.55,120.51,803.3
Winter,1,2014,2,WAL-PAR CORPORATION,130700384,3,34737.61,32322.34,2415.27,9427,7011.73,2415.27,724.62,603.85,120.77,805.09
Winter,1,2018,2,"Dew Chilli Parlors of America, LLC No. 3",170703982,5,40282.33,37805.55,2476.78,14362,11885.22,2476.78,743.05,619.21,123.84,495.356
Winter,1,2018,3,Cafe Coco of Springfield Inc.,150700615,4,48791.49,46305.67,2485.82,17718,15232.18,2485.82,745.7,621.42,124.28,621.455
Winter,1,2016,2,Arlington'sLLC,140700636,2,15324.39,12805.2,2519.19,6476,3956.91,2519.09,755.74,629.79,125.95,1259.595
Winter,1,2018,3,"Paula's Landing, LLC ",120708028,5,75489.47,72917.12,2572.35,22258,19685.67,2572.33,771.72,643.1,128.62,514.47
Winter,1,2014,2,STANKS INC.,130702114,5,48104.35,45513.06,2591.29,14726,12134.71,2591.29,777.43,647.86,129.57,518.258
Winter,1,2017,2,"Lous, Inc.",150701450,3,54562.18,51929.39,2632.79,16159,13526.21,2632.79,789.86,658.22,131.64,877.5966667
Winter,1,2018,2,"Hickory River Madigan, LLC",130704589,2,24086.02,21406.96,2679.06,7945,5265.94,2679.06,803.72,669.76,133.96,1339.53
Winter,1,2017,2,"CENTRAL POINTE, INC.",140703890,3,52760.61,50052.5,2708.11,19863,17154.56,2708.44,812.6,677.17,135.43,902.7033333
Winter,1,2016,1,KASA II INC.,140703606,3,35071.61,32330.87,2740.74,14582,11841.08,2740.92,822.32,685.27,137.05,913.58
Winter,1,2018,2,ELENI FOODS 3 INC.,160703999,3,28601.34,25851.81,2749.53,10660,7910.32,2749.68,824.94,687.45,137.49,916.51
Winter,1,2016,2,Hallie & Glenn Inc.,120706651,3,23115.47,20309.82,2805.65,8045,5239.35,2805.65,841.68,701.4,140.28,935.2166667
Winter,1,2018,3,"The Raceway Bar & Sports Complex, LLC",150702811,5,34749.72,31868.6,2881.12,9603,6722.2,2880.8,864.23,720.19,144.04,576.224
Winter,1,2013,2,"J&M Family, Fun & Food, Inc.",120704057,5,30101.26,27156.83,2944.43,9390,6445.57,2944.43,883.33,736.11,147.22,588.886
Winter,1,2019,2,LAKE PRESS CLUB,120705751,5,54191.55,51237.54,2954.01,19028,16074.76,2953.24,886.01,738.35,147.66,590.802
Winter,1,2016,2,"Admiral P, Inc.",120711311,3,42571.74,39610.42,2961.32,16735,13773.68,2961.32,888.42,740.35,148.07,987.1066667
Winter,1,2014,2,"KING OF CLUBS, INC.",180704586,5,37411.13,34389.7,3021.43,11720,8698.57,3021.43,906.5,755.42,151.08,604.286
Winter,1,2015,2,"Hickory River Madigan, LLC",130704589,3,14562.58,11537.61,3024.97,6038,3013.03,3024.97,907.51,756.26,151.25,1008.323333
Winter,1,2015,3,"LONG BRIDGE GOLF COURSE, INC.",130705875,3,23944.28,20914.5,3029.78,8648,5618.24,3029.76,908.98,757.49,151.49,1009.926667
Winter,1,2017,2,"DSB2, INC.",150704086,5,42224.25,39166.43,3057.82,12555,9497.36,3057.64,917.3,764.41,152.89,611.564
Winter,1,2017,2,Arlingtons LLC,140700636,2,16439.32,13379.27,3060.05,6339,3278.96,3060.04,918.01,765.01,153,1530.025
Winter,1,2016,2,WAL-PAR CORPORATION,130700384,4,78293.36,75207.51,3085.85,22115,19029,3086,925.78,771.48,154.3,771.4625
Winter,1,2016,2,Capitol Holdings LTD.,120708868,4,35855.95,32767.95,3088,15206,12118,3088,926.42,772.02,154.4,772
Winter,1,2017,2,"FULGENZIS PIZZA & PASTA, INC.",120710239,5,36671.13,33582.84,3088.29,15206,12117.71,3088.29,926.52,772.1,154.42,617.658
Winter,1,2015,2,"Admiral P, Inc.",120711311,3,33090.6,29970.07,3120.53,11976,8855.47,3120.53,936.17,780.14,156.03,1040.176667
Winter,1,2019,2,NAVY CLUB OF SANGAMON SHIP NO. 32 BUILDING CORPORATION,130705862,2,35742.59,32618.36,3124.23,11961,8836.77,3124.23,937.3,781.09,156.21,1562.115
Winter,1,2015,2,Lloyd Staber Jr.,120702130,3,75902.79,72709.2,3193.59,24479,21285.41,3193.59,958.09,798.41,159.68,1064.53
Winter,1,2016,2,"BRICKHOUSE DOWNTOWN, INC.",130701420,5,21668.77,18467.34,3201.43,10311,7109.52,3201.48,960.46,800.38,160.08,640.286
Winter,1,2019,2,"BLUE MARGARITAS MEXICAN BAR AND GRILL, INC.",170702476,5,50272.89,47052.3,3220.59,16458,13237.41,3220.59,966.24,805.2,161.04,644.118
Winter,1,2017,1,"Auburn Oasis Bar & Restaurant, Inc.",130704746,4,46343.6,43120.32,3223.28,15606,12382.72,3223.28,967.02,805.85,161.17,805.82
Winter,1,2017,2,THE KEG INCORPORATED,130701779,4,43851.29,40578.19,3273.1,14563,11289.9,3273.1,982,818.33,163.67,818.275
Winter,1,2015,2,"The Corkscrew Wine Emporium, LTD.",130702720,3,22749.54,19466.36,3283.18,6969,3685.92,3283.08,984.89,820.74,164.15,1094.393333
Winter,1,2018,2,Hallie & Glenn Inc.,120706651,3,33952.27,30642.34,3309.93,12838,9528.2,3309.8,992.99,827.5,165.49,1103.31
Winter,1,2018,2,"MCTAT, INC.",120706843,5,52831.41,49517.19,3314.22,17977,14662.94,3314.06,994.27,828.56,165.71,662.844
Winter,1,2019,2,"Hickory River Madigan, LLC",130704589,2,22784.96,19467.03,3317.93,7303,3985.07,3317.93,995.41,829.51,165.9,1658.965
Winter,1,2016,2,"D.H. Brown, Inc.",120706285,4,24128.57,20764.5,3364.07,11575,8210.93,3364.07,1009.27,841.06,168.21,841.0175
Winter,1,2016,3,"LONG BRIDGE GOLF COURSE, INC.",130705875,3,23428.28,20050.83,3377.45,8723,5345.5,3377.5,1013.31,844.42,168.89,1125.816667
Winter,1,2019,2,SAMS ITALIAN PIZZA INC.,130702242,3,35466.59,32081.34,3385.25,11745,8359.75,3385.25,1015.64,846.37,169.27,1128.416667
Winter,1,2018,2,L & O Inc.,120711584,5,140066.37,136680.72,3385.65,43559,40173.35,3385.65,1015.74,846.45,169.29,677.13
Winter,1,2015,2,"KING OF CLUBS, INC.",180704586,4,38872.96,35486.49,3386.47,11608,8231.28,3376.72,1013.04,844.2,168.84,846.6175
Winter,1,2017,2,"DEW CHILLI PARLORS OF AMERICA, LLC",140701342,4,36073.6,32664.04,3409.56,12614,9204.34,3409.66,1022.95,852.46,170.49,852.39
Winter,1,2017,3,"Guitars and Cadillacs Saloon, Inc.",120702108,5,103685.17,100250.2,3434.97,37760,34325.03,3434.97,1030.53,858.78,171.75,686.994
Winter,1,2017,2,"KEEFNERS, INC.",150701722,3,40348.76,36899.64,3449.12,12522,9072.88,3449.12,1034.78,862.32,172.46,1149.706667
Winter,1,2016,2,"CENTRAL POINTE, INC.",140703890,3,26961.57,23474.18,3487.39,12104,8616.62,3487.38,1046.27,871.9,174.37,1162.463333
Winter,1,2016,2,"Thai Kitchen II, Inc.",130704953,3,39224.4,35685.85,3538.55,15301,11762.6,3538.4,1061.54,884.62,176.92,1179.516667
Winter,1,2015,2,"CHRISMAC OF ILLINOIS, LLC",120706066,3,52695.53,49147.38,3548.15,21991,18442.85,3548.15,1064.45,887.04,177.41,1182.716667
Winter,1,2018,2,"ANCHOR BOAT CLUB OF SPRINGFIELD, ILL.",120710859,4,71452.23,67855.53,3596.7,27647,24050.61,3596.39,1078.99,899.16,179.83,899.175
Winter,1,2016,2,"La Fiesta Mex, Inc.",140700210,2,48462.46,44845.55,3616.91,18731,15114.01,3616.99,1085.12,904.27,180.85,1808.455
Winter,1,2017,2,TCA Food Service LLC,150704450,5,56875.67,53185.66,3690.01,16618,12927.69,3690.31,1107.13,922.6,184.53,738.002
Winter,1,2017,2,"Hickory River Madigan, LLC",130704589,2,18994.13,15293.15,3700.98,7491,3789.97,3701.03,1110.32,925.27,185.05,1850.49
Winter,1,2019,1,PEARLS PUB INC.,130705328,3,78563.55,74841.15,3722.4,19884,16161.25,3722.75,1116.83,930.69,186.14,1240.8
Winter,1,2019,2,"Lake Pointe Grill, Inc.",120706970,3,40598.48,36841.7,3756.78,14882,11125.22,3756.78,1127.05,939.21,187.84,1252.26
Winter,1,2016,3,BUCKHART TAVERN INC.,130702235,3,55744.3,51957,3787.3,17358,13570.7,3787.3,1136.25,946.87,189.38,1262.433333
Winter,1,2017,2,"Lake Pointe Grill, Inc.",120706970,3,45388.39,41585.52,3802.87,20017,16214.13,3802.87,1140.91,950.76,190.15,1267.623333
Winter,1,2018,2,KLA OF ILLINOIS INC.,160701630,5,53272.31,49468.31,3804,19237,15433,3804,1141.27,951.06,190.21,760.8
Winter,1,2015,2,"Marly's Pub, L.L.C.",120708104,3,28106.98,24293.25,3813.73,11138,7324.27,3813.73,1144.14,953.45,190.69,1271.243333
Winter,1,2019,3,"Sporton, Incorporated",140703570,4,51987.04,48162.78,3824.26,18397,14572.74,3824.26,1147.34,956.12,191.22,956.065
Winter,1,2017,3,"LONG BRIDGE GOLF COURSE, INC.",130705875,3,35358.53,31528.99,3829.54,10073,6243.46,3829.54,1148.88,957.4,191.48,1276.513333
Winter,1,2018,1,Dawn Godsil,140700891,4,83190.07,79351.56,3838.51,29661,25822.55,3838.45,1151.57,959.65,191.92,959.6275
Winter,1,2014,2,"BRICKHOUSE DOWNTOWN, INC.",130701420,5,56536.41,52605.06,3931.35,19407,15475.65,3931.35,1179.45,982.87,196.58,786.27
Winter,1,2013,2,Michael E. Gerula,120703765,5,62633.81,58691.97,3941.84,14430,10488.16,3941.84,1182.56,985.47,197.09,788.368
Winter,1,2019,2,"D.H. Brown, Inc.",120706285,4,23461.72,19494.86,3966.86,8553,4586.05,3966.95,1190.16,991.8,198.36,991.715
Winter,1,2015,3,"Delaney's 3rd Street Grub & Pub, Inc.",140700607,3,54106.66,50109.53,3997.13,23505,19507.87,3997.13,1199.12,999.27,199.85,1332.376667
Winter,1,2018,1,"Auburn Oasis Bar & Restaurant, Inc.",130704746,3,28685.66,24646.13,4039.53,10038,5998.47,4039.53,1211.89,1009.91,201.98,1346.51
Winter,1,2014,3,LAKE PRESS CLUB,120705751,4,42466.84,38412.5,4054.34,14024,9969.66,4054.34,1216.31,1013.59,202.72,1013.585
Winter,1,2019,2,"DWAC, INC.",170704157,5,55780.76,51714.54,4066.22,19269,15202.75,4066.25,1219.93,1016.61,203.32,813.244
Winter,1,2019,2,"Lous, Inc.",150701450,3,50355.09,46217.27,4137.82,15169,11031.18,4137.82,1241.38,1034.49,206.89,1379.273333
Winter,1,2019,2,Lloyd Staber Jr.,120702130,4,77107.59,72916.7,4190.89,31224,27033.11,4190.89,1257.36,1047.8,209.56,1047.7225
Winter,1,2019,1,"Auburn Oasis Bar & Restaurant, Inc.",130704746,4,25610,21372.97,4237.03,9479,5241.97,4237.03,1271.21,1059.35,211.86,1059.2575
Winter,1,2016,2,"Hickory River Madigan, LLC",130704589,2,30845.59,26527.03,4318.56,13326,9007.38,4318.62,1295.64,1079.7,215.94,2159.28
Winter,1,2015,2,"CENTRAL POINTE, INC.",120711229,3,48009.44,43685.29,4324.15,24152,19827.85,4324.15,1297.27,1081.06,216.21,1441.383333
Winter,1,2017,2,"Frankies Brewhaus, Inc.",160700434,5,74612.69,70272.69,4340,21819,17479.05,4339.95,1302,1085,217,868
Winter,1,2018,3,BUCKHART TAVERN INC.,130702235,3,65694.71,61342.26,4352.45,17217,12864.75,4352.25,1305.68,1088.06,217.62,1450.816667
Winter,1,2017,3,Cafe Coco of Springfield Inc.,150700615,3,60878.62,56523.22,4355.4,21996,17640.77,4355.23,1306.56,1088.8,217.76,1451.8
Winter,1,2018,2,"Frankies Brewhaus, Inc.",160700434,5,53399.76,48983.79,4415.97,16687,12271.03,4415.97,1324.83,1104.03,220.8,883.194
Winter,1,2017,2,BIG SHOTS S&M INCORPORATED,160703254,5,51057.81,46622.38,4435.43,18773,14337.65,4435.35,1330.62,1108.85,221.77,887.086
Winter,1,2019,2,RFW Inc.,170702870,4,52959.54,48492.8,4466.74,19032,14565.26,4466.74,1340.06,1116.72,223.34,1116.685
Winter,1,2016,2,"The Corkscrew Wine Emporium, LTD.",130702720,3,44676.43,40197.4,4479.03,11591,7111.83,4479.17,1343.78,1119.81,223.97,1493.01
Winter,1,2018,2,Thomas Endres ,120708996,5,82233.69,77699,4534.69,27266,22731.31,4534.69,1360.39,1133.66,226.73,906.938
Winter,1,2017,2,Engrained Brewing Company LLC,150702740,5,43159.69,38595.17,4564.52,18088,13523.48,4564.52,1369.39,1141.16,228.23,912.904
